29,7,25
25,21,33
31,7,11
13,17,21
33,2,27
15,17,15
20,20,20
23,27,15
18,18,19
11,13,1
1,12,29
25,3,10
3,12,7
34,29,1
3,13,30
4,30,34
7,25,25
16,28,2
15,34,16
19,20,33
3,26,15
20,21,14
14,25,22
12,4,11
9,7,21
22,25,13
1,5,17
34,28,10
31,22,27
31,8,11
31,25,31
11,27,21
19,28,32
22,23,30
5,20,4
21,5,25
18,33,18
22,22,18
22,5,20
17,18,18
23,22,31
32,9,8
33,2,18
9,24,5
23,16,34
34,25,11
8,20,19
19,15,25
28,34,8
15,30,32
27,30,6
19,16,2
8,22,13
34,24,29
23,10,22
19,15,19
10,19,19
22,25,33
7,17,6
10,25,15
26,6,21
7,25,33
12,5,13
5,10,33
31,19,3
32,17,16
11,11,3
23,22,25
30,14,26
27,25,13
34,24,5
1,34,28
29,10,1
34,12,7
24,13,29
22,12,24
33,21,25
7,1,1
27,34,5
11,23,15
17,34,3
3,32,2
14,22,1
32,7,6
19,33,6
17,16,14
4,13,7
20,27,26
33,32,7
28,26,31
22,27,7
18,4,16
16,12,15
13,32,20
31,24,23
17,7,17
34,1,4
34,27,5
16,28,16
6,3,23
4,12,29
11,14,32
12,2,12
14,10,15
16,31,15
23,33,13
22,34,32
34,22,15
29,15,31
11,4,24
22,21,5
19,18,14
33,28,12
14,34,31
20,24,20
28,7,2
3,26,29
14,28,21
3,31,7
18,17,9
4,13,9
6,17,21
12,20,8
9,16,31
1,1,12
1,15,15
21,5,32
33,22,11
26,10,11
11,5,21
21,20,12
3,16,18
12,31,12
33,19,4
20,32,9
25,15,34
13,17,32
26,29,34
20,29,10
27,2,20
5,14,33
29,25,27
22,7,21
27,28,3
19,13,33
17,16,29
16,18,24
5,6,28
8,1,15
30,11,23
