58,38,21
33,49,28
16,56,53
82,89,25
47,18,27
86,77,74
73,65,46
85,96,98
98,35,48
54,49,42
64,55,22
96,48,32
35,83,89
52,33,93
87,55,5
95,24,84
81,87,45
72,12,42
72,58,28
27,40,9
60,61,88
21,73,90
8,64,27
2,2,43
34,49,56
85,36,9
40,25,70
31,12,97
16,79,68
24,29,58
42,69,14
5,46,43
16,78,5
3,86,41
7,44,99
77,47,69
83,6,76
95,38,38
86,97,32
45,43,6
15,75,25
92,40,11
67,37,87
58,29,48
57,73,18
68,1,4
4,18,62
74,61,44
54,52,65
56,75,19
48,44,54
35,93,75
82,92,22
37,71,33
24,36,38
53,94,97
39,27,10
19,95,37
59,66,64
82,33,14
29,44,26
10,74,45
64,17,72
45,1,17
18,32,94
76,38,87
65,4,37
56,66,62
63,64,91
76,28,91
1,22,17
13,75,84
82,95,85
74,85,29
62,50,53
2,55,18
51,64,46
94,6,5
84,4,78
1,3,87
78,38,57
46,4,14
73,27,64
64,10,84
41,63,27
13,21,76
67,53,45
9,78,98
16,64,68
51,17,92
44,53,10
57,22,61
95,29,96
75,1,35
82,72,82
63,79,62
82,69,77
31,43,24
22,21,18
4,79,55
70,44,93
9,59,24
29,38,37
45,93,16
19,39,29
81,15,36
69,57,29
74,32,17
37,20,33
91,14,51
84,28,77
57,9,30
6,75,68
86,29,3
80,39,51
51,71,63
57,44,13
63,36,62
26,94,28
49,79,87
76,9,37
50,49,22
4,39,67
40,43,83
48,40,1
81,17,60
1,73,14
96,91,73
82,92,95
40,8,42
97,2,79
63,8,51
24,13,63
93,50,93
4,25,92
31,1,72
93,62,17
50,1,80
44,12,78
91,7,86
37,57,66
75,34,21
46,55,31
65,76,63
94,72,48
74,68,91
91,93,54
78,65,5
68,22,56
19,48,80
87,6,68
56,75,99
98,61,91
19,53,96
73,67,26
79,71,31
53,68,12
14,35,55
15,46,79
54,31,12
13,46,78
24,1,41
49,84,54
4,81,34
70,80,83
31,54,48
84,68,58
46,89,97
70,25,45
33,4,25
45,23,97
71,97,29
24,23,20
22,37,4
91,86,23
49,5,87
89,10,11
75,24,38
58,86,27
29,16,76
51,31,9
9,11,37
63,10,35
52,4,44
12,63,77
40,63,33
74,55,45
43,24,80
21,93,3
31,87,40
34,26,12
34,75,70
94,78,41
96,52,60
52,56,39
3,33,32
29,85,13
16,47,36
46,72,53
67,91,31
