72,42,70
98,85,35
88,59,86
51,86,76
85,95,94
86,67,85
58,79,50
97,97,54
81,83,97
83,15,71
93,78,76
74,1,85
91,70,93
16,68,97
88,79,68
87,29,78
55,53,62
41,39,42
58,51,99
77,78,11
66,98,84
91,63,60
58,82,58
91,70,20
52,57,54
3,1,28
69,80,30
59,58,50
72,79,74
55,98,78
13,90,92
68,56,91
99,29,89
38,96,71
13,47,20
90,39,93
87,54,59
89,64,88
23,27,23
18,76,76
62,90,82
88,21,94
70,70,62
92,63,75
16,84,70
97,89,86
69,57,59
95,56,94
26,25,19
98,60,95
63,81,86
58,95,79
7,32,40
67,99,5
92,98,83
21,25,39
74,67,73
55,61,58
53,63,73
97,89,86
74,59,88
30,76,77
62,52,68
55,92,54
11,94,72
78,84,71
88,96,52
47,95,70
64,77,64
84,36,89
37,83,73
62,99,85
66,80,64
99,12,82
69,97,95
85,91,41
98,96,84
94,87,32
48,85,93
75,86,24
79,61,71
60,53,54
63,84,87
59,78,97
98,84,78
3,74,98
39,2,27
79,50,53
19,23,37
72,59,76
86,75,58
98,35,72
27,38,46
77,12,91
91,22,77
87,27,93
66,82,96
88,68,83
3,8,38
79,14,80
51,87,52
61,99,68
88,19,94
81,68,73
97,50,73
74,77,89
99,58,51
15,97,88
67,31,90
6,46,21
55,66,80
96,55,74
62,69,58
11,67,90
91,98,74
81,79,53
74,11,88
83,62,56
90,54,92
68,94,10
12,9,21
75,93,66
89,77,74
51,68,65
72,65,63
99,56,69
78,91,51
27,30,40
54,87,85
51,95,68
97,87,2
82,98,59
27,11,48
68,78,65
29,43,35
32,6,16
53,58,66
68,87,74
83,79,14
13,4,38
98,7,94
74,90,36
56,63,79
83,79,60
4,75,86
82,70,54
91,72,66
94,67,19
83,57,83
50,72,99
37,22,37
3,78,80
24,71,91
12,77,80
85,52,60
74,22,70
55,62,98
90,37,89
90,74,57
81,88,57
67,67,93
51,99,67
83,88,64
67,85,60
87,53,53
40,81,96
98,17,98
65,51,67
84,90,74
73,55,63
98,6,91
9,35,46
31,32,1
24,22,4
96,77,74
60,81,59
52,57,64
15,87,89
84,41,69
82,92,65
65,85,71
11,7,13
76,94,73
69,75,97
60,86,59
3,88,93
71,78,78
10,49,6
54,71,56
81,56,67
91,84,57
66,85,53
73,75,51
89,60,61
75,37,81
52,55,75
92,50,56
55,98,99
55,93,97
86,8,69
