46,115,1
46,115,1
254,115,1
254,115,1
58,185,115
13,185,29
83,178,104
83,178,11
83,5,1
83,2,1
121,185,17
38,185,117
38,185,17
1,185,18
1,185,1
82,185,1
13,130,33
83,1,1
83,1,1
83,1,9
83,1,9
1,55,1
1,55,32
12,55,1
12,55,32
10,185,2
10,185,92
93,185,2
17,185,12
17,185,7
41,185,12
41,185,7
286,115,132
14,115,166
14,115,132
7,130,1
6,130,1
10,7,91
10,7,13
73,7,91
73,7,13
8,55,6
5,31,3
5,24,3
90,59,26
90,59,3
90,126,3
1,24,2
1,24,1
4,24,2
4,24,1
7,55,1
7,55,1
1,55,1
1,55,1
247,185,1
247,185,1
53,185,1
53,185,1
7,116,4
7,14,4
7,116,3
7,14,3
83,3,6
83,2,6
83,3,4
83,2,4
69,185,3
69,185,15
13,185,3
13,185,15
90,114,15
90,114,26
90,71,26
3,55,1
3,55,1
2,55,1
2,55,1
274,115,153
274,115,13
12,115,153
45,185,31
45,185,39
11,185,31
5,14,1
5,17,1
5,14,2
5,17,2
1,185,14
1,185,25
10,185,14
10,185,25
93,178,54
93,7,54
93,178,38
93,7,38
56,98,20
56,87,20
90,61,14
90,65,14
9,115,5
9,115,8
3,81,2
3,34,2
3,81,6
3,34,6
90,14,8
90,47,4
90,14,4
90,39,7
90,8,7
90,39,1
90,8,1
96,185,162
96,185,2
45,185,162
45,185,2
22,65,3
68,65,9
68,65,3
2,65,2
2,65,7
20,65,2
20,65,7
56,7,17
56,7,57
56,80,57
6,4,6
6,126,6
6,4,1
6,126,1
121,80,105
121,105,105
121,80,12
121,105,12
90,7,10
90,64,10
90,7,5
90,64,5
56,13,66
56,85,66
56,13,8
56,85,8
2,115,1
2,115,4
1,115,1
1,115,4
37,80,5
37,80,12
19,80,5
19,80,12
