100 151
1 2502505
300 300 300
130
1 1 1 300 1 144 1 151
2 1 1 300 1 152 1 29
3 1 1 300 1 4 1 120
4 1 1 300 1 7 1 19
5 1 1 300 1 8 1 108
6 1 1 300 1 7 1 16
7 1 1 300 1 1 1 16
8 1 1 300 1 7 1 3
9 1 1 300 1 1 1 3
10 1 1 300 1 2 1 12
11 1 1 300 1 2 1 17
12 1 1 300 1 23 1 11
13 1 1 187 1 15 1 17
14 1 1 64 1 15 1 6
15 1 1 64 1 15 1 1
16 1 1 49 1 15 1 6
17 1 1 49 1 15 1 1
18 1 1 162 1 2 1 6
19 1 1 300 1 18 1 6
20 1 1 207 1 152 1 35
21 1 1 93 1 152 1 85
22 1 1 93 1 130 1 33
23 1 1 93 1 22 1 33
24 1 1 93 1 130 1 2
25 2 1 77 1 2 1 3
26 2 1 61 1 2 1 3
27 1 1 300 1 26 1 3
28 2 1 300 1 12 1 3
29 1 1 300 1 75 1 83
30 1 1 300 1 75 1 44
31 1 1 300 1 66 1 44
32 1 1 181 1 23 1 1
33 1 1 181 1 23 1 8
34 1 1 119 1 23 1 1
35 1 1 119 1 23 1 8
36 2 1 49 1 22 1 1
37 2 1 44 1 22 1 1
38 1 1 300 1 1 1 27
39 1 1 300 1 1 1 81
40 1 1 300 1 6 1 81
41 1 1 5 1 15 1 3
42 1 1 5 1 15 1 4
43 1 1 182 1 15 1 4
44 1 1 204 1 144 1 35
45 1 1 96 1 144 1 35
46 2 1 137 1 6 1 1
47 2 1 137 1 12 1 1
48 1 1 32 1 62 1 18
49 1 1 32 1 62 1 2
50 1 1 268 1 62 1 18
51 1 1 268 1 62 1 2
52 4 1 138 1 1 1 3
53 1 1 300 1 55 1 3
54 1 1 300 1 7 1 1
55 1 1 300 1 55 1 1
56 1 1 163 1 6 1 1
57 1 1 163 1 12 1 1
58 1 1 158 1 2 1 1
59 1 1 4 1 2 1 5
60 1 1 4 1 2 1 1
61 1 1 199 1 66 1 18
62 1 1 199 1 66 1 65
63 1 1 101 1 66 1 18
64 1 1 101 1 66 1 65
65 1 1 150 1 79 1 3
66 2 1 150 1 79 1 1
67 2 1 300 1 1 1 2
68 1 1 300 1 25 1 2
69 2 1 300 1 1 1 1
70 1 1 300 1 25 1 1
71 1 1 96 1 98 1 13
72 1 1 96 1 46 1 13
73 1 1 96 1 46 1 101
74 1 1 203 1 38 1 4
75 1 1 203 1 38 1 1
76 1 1 97 1 38 1 1
77 1 1 31 1 2 1 1
78 1 1 31 1 2 1 4
79 1 1 127 1 2 1 1
80 1 1 127 1 2 1 4
81 1 1 300 1 6 1 2
82 1 1 300 1 6 1 1
83 1 1 300 1 19 1 6
84 1 1 300 1 37 1 6
85 1 1 300 1 19 1 3
86 1 1 300 1 37 1 3
87 1 1 18 1 15 1 1
88 1 1 18 1 15 1 2
89 1 1 164 1 15 1 1
90 1 1 164 1 15 1 2
91 2 1 10 1 18 1 1
92 2 1 153 1 18 1 1
93 1 1 40 1 18 1 1
94 1 1 40 1 18 1 2
95 1 1 97 1 18 1 1
96 1 1 97 1 18 1 2
97 2 1 152 1 12 1 1
98 2 1 11 1 12 1 1
99 2 1 300 1 1 1 10
100 2 1 300 1 1 1 7
101 1 1 109 1 144 1 34
102 1 1 109 1 144 1 80
103 1 1 95 1 144 1 34
104 1 1 95 1 144 1 80
105 1 1 207 1 43 1 55
106 1 1 207 1 109 1 55
107 1 1 207 1 43 1 30
108 1 1 207 1 109 1 30
109 1 1 96 1 35 1 93
110 1 1 96 1 63 1 93
