1;91;191;1;1;1;1;0
904;91;191;78;1;1;1;0
345;91;191;29;1;1;1;0
1;445;191;1;1;1;1;0
904;445;191;384;1;1;1;0
345;445;191;146;1;1;1;0
1;68;191;1;1;1;1;0
904;68;191;58;1;1;1;0
345;68;191;22;1;1;1;0
1;91;418;1;1;1;1;0
904;91;418;171;1;1;1;0
345;91;418;65;1;1;1;0
1;445;418;1;1;1;1;0
904;445;418;840;1;1;1;0
345;445;418;320;1;1;1;0
1;68;418;1;1;1;1;0
904;68;418;128;1;1;1;0
345;68;31;3;1;1;1;0
1;91;31;1;1;1;1;0
904;91;31;12;1;1;1;0
345;91;31;4;1;1;1;0
1;445;31;1;1;1;1;0
904;445;31;62;1;1;1;0
345;445;31;23;1;1;1;0
1;68;31;1;1;1;1;0
904;68;31;9;1;1;1;0
345;68;31;3;1;1;1;0
