443;293;114;73;1;1;1;0
528;293;114;88;1;1;1;0
279;293;114;46;1;1;1;0
443;246;114;62;1;1;1;0
528;246;114;74;1;1;1;0
279;246;114;39;1;1;1;0
443;65;114;16;1;1;1;0
528;65;114;19;1;1;1;0
279;65;114;10;1;1;1;0
443;293;346;224;1;1;1;0
528;293;346;267;1;1;1;0
279;293;346;141;1;1;1;0
443;246;346;188;1;1;1;0
528;246;346;224;1;1;1;0
279;246;346;118;1;1;1;0
443;65;346;49;1;1;1;0
528;65;346;59;1;1;1;0
279;65;180;16;1;1;1;0
443;293;180;116;1;1;1;0
528;293;180;139;1;1;1;0
279;293;180;73;1;1;1;0
443;246;180;98;1;1;1;0
528;246;180;116;1;1;1;0
279;246;180;61;1;1;1;0
443;65;180;25;1;1;1;0
528;65;180;30;1;1;1;0
279;65;180;16;1;1;1;0
