243;89;60;6;1;1;1;0
505;89;60;13;1;1;1;0
502;89;60;13;1;1;1;0
243;392;60;28;1;1;1;0
505;392;60;59;1;1;1;0
502;392;60;59;1;1;1;0
243;123;60;8;1;1;1;0
505;123;60;18;1;1;1;0
502;123;60;18;1;1;1;0
243;89;289;31;1;1;1;0
505;89;289;64;1;1;1;0
502;89;289;64;1;1;1;0
243;392;289;137;1;1;1;0
505;392;289;286;1;1;1;0
502;392;289;284;1;1;1;0
243;123;289;43;1;1;1;0
505;123;289;89;1;1;1;0
502;123;291;89;1;1;1;0
243;89;291;31;1;1;1;0
505;89;291;65;1;1;1;0
502;89;291;65;1;1;1;0
243;392;291;138;1;1;1;0
505;392;291;288;1;1;1;0
502;392;291;286;1;1;1;0
243;123;291;43;1;1;1;0
505;123;291;90;1;1;1;0
502;123;291;89;1;1;1;0
